NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
Amos 3	NR	"Space-Communication Ltd,Israel"	Military/Commercial	Communications	GEO	35783	35789	0.0000712	0.04	0.2000000	1436.100	2000.00	28/04/2008	12 yrs.	Baikonur Cosmodrome	Zenit 3SLB	35786.00000	35785.99991	2.548	0	35786	0	2.548	0	35786
Amos 4	NR	"Space-Communication Ltd,Israel"	Military/Commercial	Communications	GEO	35633	35796	0.00194	0.01	0.2000000	1432.000	2000.00	31/08/2013	12 yrs.	Baikonur Cosmodrome	Zenit 2SB	35714.50000	35714.43279	69.28613	0	35714.5	0	69.28613	0	35714.5
Amsat-Oscar 7 (AO-7)	USA	"Amsat-NA,USA"	Civil	Communications	LEO	1440	1459	0.00121	101.4	0.0029000	114.900	29.00	15/11/1974	12 yrs.	Vandenberg AFB	Delta 2310	1449.50000	1449.49894	1.7539	0	1449.5	0	1.7539	0	1449.5
Anik F1 	Canada	"Telesat Canada Ltd. (BCE, Inc.),Canada"	Commercial	Communications	GEO	35778	35793	0.000178	0.02	0.4710000	1436.080	4710.00	21/11/2000	15 yrs.	Guiana Space Center	Ariane 44L	35785.50000	35785.49943	6.3698	0	35785.5	0	6.3698	0	35785.5
Anik F1R	Canada	"Telesat Canada Ltd. (BCE, Inc.),Canada"	Commercial	Communications	GEO	35777	35795	0.000213	0.02	0.4500000	1436.100	4500.00	09/09/2005	15 yrs.	Baikonur Cosmodrome	Proton M	35786.00000	35785.99919	7.62243	0	35786	0	7.62243	0	35786
Anik F2 	Canada	"Telesat Canada Ltd. (BCE, Inc.),Canada"	Commercial	Communications	GEO	35781	35790	0.000107	0.01	0.5910000	1436.080	5910.00	18/07/2004	15 yrs.	Guiana Space Center	Ariane 5	35785.50000	35785.49980	3.82901	0	35785.5	0	3.82901	0	35785.5
Anik F3	Canada	"Telesat Canada Ltd. (BCE, Inc.),Canada"	Commercial	Communications	GEO	35778	35794	0.00019	0.01	0.4715000	1436.100	4715.00	09/04/2007	15 yrs.	Baikonur Cosmodrome	Proton M	35786.00000	35785.99935	6.79935	0	35786	0	6.79935	0	35786
Anik G1	NR	"Telesat Canada Ltd. (BCE, Inc.),Canada"	Commercial	Communications	GEO	35773	35799	0.000308	0.01	0.4905000	1436.080	4905.00	15/04/2013	15 yrs.	Baikonur Cosmodrome	Proton M	35786.00000	35785.99830	11.02208	0	35786	0	11.02208	0	35786
AntelSat	NR	"Facultad de Ingenierí_a de la Universidad de la Repí_blica (FING), ANTEL,Uruguay"	Civil	Technology Development	LEO	612	696	0.00598	97.96	0.0002000	96.990	2.00	19/06/2014	15 yrs.	Dombarovsky Air Base	Dnepr	654.00000	653.98831	3.91092	0	654	0	3.91092	0	654
AOBA-Velox 3 	NR (10/17)	"Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan"	Civil	Technology Development	LEO	398	407	0.000664	51.64	0.0002000	92.610	2.00	09/12/2016	.5 yrs.	International Space Station	Nanorack Deployer	402.50000	402.49991	0.26726	0	402.5	0	0.26726	0	402.5
AprizeSat 1 (LatinSat-C)	USA	"Aprize Satellite Argentina,Argentina"	Commercial	Communications/Technology Development	LEO	696	764	0.00479	98	0.0012000	99.400	12.00	29/06/2004	2 yrs.	Baikonur Cosmodrome	Dnepr 1	730.00000	729.99163	3.4967	0	730	0	3.4967	0	730
AprizeSat 10 (exactView-13)	NR	"Aprize Satellite,USA/Argentina"	Commercial	Communications/Maritime Tracking	LEO	613	733	0.00852	97.9	0.0012000	98.000	12.00	19/06/2014	3 yrs.	Dombarovsky Air Base	Dnepr	673.00000	672.97557	5.73396	0	673	0	5.73396	0	673
AprizeSat 2 (LatinSat-D)	USA	"Aprize Satellite Argentina,Argentina"	Commercial	Communications/Technology Development	LEO	694	850	0.0109	98.2	0.0012000	100.300	12.00	29/06/2004	3 yrs.	Baikonur Cosmodrome	Dnepr 1	772.00000	771.95414	8.4148	0	772	0	8.4148	0	772
AprizeSat 3 	USA	"Aprize Satellite,USA/Argentina"	Commercial	Communications/Maritime Tracking	LEO	559	662	0.00738	98.18	0.0012000	97.000	12.00	29/07/2009	3 yrs.	Baikonur Cosmodrome	Dnepr	610.50000	610.48337	4.50549	0	610.5	0	4.50549	0	610.5
AprizeSat 4 	USA	"Aprize Satellite,USA/Argentina"	Commercial	Communications/Maritime Tracking	LEO	604	674	0.00499	98.1	0.0012000	97.500	12.00	29/07/2009	3 yrs.	Baikonur Cosmodrome	Dnepr	639.00000	638.99204	3.18861	0	639	0	3.18861	0	639
AprizeSat 5	USA	"Aprize Satellite,Canada"	Commercial	Communications	LEO	610	694	0.00598	98.2	0.0012000	97.800	12.00	17/08/2011	2 yrs.	Dombarovsky Air Base	Dnepr 1	652.00000	651.98834	3.89896	0	652	0	3.89896	0	652
AprizeSat 7	USA	"Aprize Satellite,Canada"	Commercial	Communications	LEO	594	653	0.00422	97.8	0.0012000	97.170	12.00	21/11/2013	12 yrs.	Dombarovsky Air Base	Dnepr	623.50000	623.49445	2.63117	0	623.5	0	2.63117	0	623.5
AprizeSat 8 (exactView-12)	NR	"Aprize Satellite,USA/Argentina"	Commercial	Communications/Maritime Tracking	LEO	594	669	0.00536	97.8	0.0012000	97.990	12.00	21/11/2013	4 yrs.	Dombarovsky Air Base	Dnepr	631.50000	631.49093	3.38484	0	631.5	0	3.38484	0	631.5
AprizeSat 9 (exactView-11)	NR	"exactEarth,Canada"	Commercial	Communications/Maritime Tracking	LEO	613	715	0.00725	97.9	0.0012000	98.000	12.00	19/06/2014	7 yrs.	Dombarovsky Air Base	Dnepr	664.00000	663.98255	4.814	0	664	0	4.814	0	664
Apstar 6	China	"APT Satellite Holdings Ltd.,China"	Commercial	Communications	GEO	35778	35794	0.00019	0.01	0.4680000	1436.080	4680.00	12/04/2005	3 yrs.	Xichang Satellite Launch Center	Long March 3B	35786.00000	35785.99935	6.79935	0	35786	0	6.79935	0	35786
Apstar 7	China	"APT Satellite Holdings Ltd.,China"	Commercial	Communications	GEO	35864	35874	0.000118	0.03	0.5054000	1440.310	5054.00	31/03/2012	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35869.00000	35868.99975	4.23254	0	35869	0	4.23254	0	35869
Apstar 9	China	"APT Satellite Holdings Ltd.,China"	Commercial	Communications	GEO	35782	35788	0.0000712	0.12	0.5200000	1436.010	5200.00	16/10/2015	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35785.00000	35784.99991	2.54782	0	35785	0	2.54782	0	35785
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)"	China	"APT Satellite Holdings Ltd.,China"	Commercial	Communications	GEO	35778	35795	0.000202	0.02	0.3000000	1436.120	3000.00	30/05/1998	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35786.50000	35786.49927	7.22889	0	35786.5	0	7.22889	0	35786.5
Arabsat 5C	NR	"Arab Satellite Communications Org. (ASCO),Multinational"	Government	Communications	GEO	35766	35805	0.000463	0.06	0.4630000	1436.060	4630.00	21/09/2011	15 yrs.	Guiana Space Center	Arinae 5 ECA	35785.50000	35785.49616	16.56868	0	35785.5	0	16.56868	0	35785.5
