NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Eutelsat 25B (Es’hail 1),France,"Eutelsat S.A./Es'hailSat,Multinational",Commercial,Communications,GEO,"35,725","35,767",4.99E-04,0.08,1434.03,null,29/08/2013,15 yrs.,Guiana Space Center,Ariane 5 ECA
"Eutelsat 33A (Eurobird 3, E-bird) ",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,781","35,790",1.07E-04,0.05,1436.06,"1,525",27/09/2003,10 yrs.,Guiana Space Center,Ariane 5
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,788","35,794",7.12E-05,0.07,1436.1,"2,950",8/3/2001,12 yrs.,Guiana Space Center,Ariane 5
Eutelsat 36A (Eutelsat W-4) ,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,766","35,806",4.74E-04,0.07,1436.08,"3,190",24/05/2000,12 yrs.,Cape Canaveral,Atlas 3A
Eutelsat 36B (Eutelsat W-7),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,786","35,787",1.19E-05,0.07,1436.09,"5,600",24/11/2009,15 yrs.,Baikonur Cosmodrome,Breeze M
Eutelsat 3B,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,782","35,791",1.07E-04,0.07,1436.1,"5,967",26/05/2014,15 yrs.,Sea Launch Odyssey,Zenit 3SL
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,777","35,797",2.37E-04,0.09,1436.12,"5,102",10/11/2012,15 yrs.,Guiana Space Center,Ariane 5 ECA
"Eutelsat 5 West-A (Atlantic Bird 3, Stellat 5)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,769","35,805",4.27E-04,0.04,1436.08,"4,050",5/7/2002,15 yrs.,Guiana Space Center,Ariane 5
Eutelsat 65 West-A,NR (12/16),"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0.08,1436.07,"6,654",9/3/2016,15 yrs.,Guiana Space Center,Ariane 5
Eutelsat 7 West-A (Atlantic Bird 7),France,"Eutelsat S.A./Nilesat,Multinational",Commercial,Communications,GEO,"35,774","35,799",2.97E-04,0.06,1436.09,"4,600",24/09/2011,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Eutelsat 70B (Eutelsat W5A),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,780","35,800",2.37E-04,0.06,1436.28,"5,250",3/12/2012,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Eutelsat 7A (Eutelsat W3A) ,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,769","35,802",3.91E-04,0.06,1436.07,"4,300",15/03/2004,15 yrs.,Baikonur Cosmodrome,Proton M
Eutelsat 7B ,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,784","35,794",1.19E-04,0.03,1436.21,"5,404",14/05/2013,15 yrs.,Baikonur Cosmodrome,Proton M
Eutelsat 8 West A (Atlantic Bird 2) ,France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,766","35,806",4.74E-04,0.06,1436.1,"3,150",25/09/2001,15 yrs.,Guiana Space Center,Ariane 4
Eutelsat 8 West B,NR,"Eutelsat S.A./Nilesat,Multinational",Commercial,Communications,GEO,"35,773","35,814",4.86E-04,0.1,1436.1,"5,800",20/08/2015,15 yrs.,Guiana Space Center,Ariane 5
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,756","35,815",7.00E-04,0.09,1436.06,"3,800",28/08/2002,12 yrs.,Cape Canaveral,Atlas 5
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,775","35,799",2.85E-04,0.07,1436.1,"4,100",11/3/2006,15 yrs.,Guiana Space Center,Ariane 5
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,766","35,806",4.74E-04,0.06,1436.07,"4,892",11/2/2009,15 yrs.,Guiana Space Center,Ariane 5 ECA
Eutelsat Hot Bird 13B (Hot Bird 8),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,759","35,812",6.29E-04,0.02,1436.06,"4,900",4/8/2006,15 yrs.,Baikonur Cosmodrome,Proton/Breeze M
Eutelsat Hot Bird 13C (Hot Bird 9),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,786","35,787",1.19E-05,0.06,1436.09,"4,880",20/12/2008,15 yrs.,Guiana Space Center,Ariane 5
Eutelsat Hot Bird 13E (Eutelsat 9B),NR (12/16),"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,780","35,792",1.42E-04,0.08,1436.06,"5,200",29/01/2016,15 yrs.,Baikonur Cosmodrome,Proton
Eutelsat KA-SAT 9A (KA-SAT),France,"Eutelsat S.A.,Multinational",Commercial,Communications,GEO,"35,714","35,856",1.68E-03,0.13,1436.01,"6,150",26/12/2010,15 yrs.,Baikonur Cosmodrome,Proton
exactView 1,Canada,"exactEarth,Canada",Commercial,Communications,LEO,806,821,1.04E-03,99,101.2,100,22/07/2012,null,Baikonur Cosmodrome,Soyuz-Fregat
exactView 6 (AprizeSat 6),Canada,"exactEarth,Canada",Commercial,Communications,LEO,627,694,4.76E-03,98.2,98,12,17/08/2011,null,Dombarovsky Air Base,Dnepr 1
exactView 9,NR,"exactEarth,Canada",Commercial,Communications,LEO,630,649,1.36E-03,6,97.5,6,28/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
Ex-Alta 1 (QB50 - CA03),NR (10/17),"University of Alberta,Canada",Civil,Earth Science,LEO,397,408,8.12E-04,51.6,92.6,2,26/05/2017,null,International Space Station,Nanorack Deployer
Express AM22 (Sesat 2),Russia,"Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Russia/Multinational",Commercial,Communications,GEO,"35,781","35,790",1.07E-04,0.02,1436.06,"2,600",28/12/2003,12 yrs.,Baikonur Cosmodrome,Proton K
Express AMU1 (Eutelsat 36C),Russia,"Russian Satelite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,792","35,795",3.56E-05,0.1,1436.1,"2,700",24/12/2015,15 yrs.,Baikonur Cosmodrome,Proton M
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,774","35,798",2.85E-04,0.02,1436.1,"2,600",10/6/2002,7-10 yrs.,Baikonur Cosmodrome,Proton K
Express-AM2,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,785","35,788",3.56E-05,0.04,1436.1,"2,542",29/03/2005,12 yrs.,Baikonur Cosmodrome,Proton K
Express-AM3,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,777","35,795",2.13E-04,0.09,1436.1,"2,600",24/06/2005,12 yrs.,Baikonur Cosmodrome,Proton K
Express-AM33,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,782","35,791",1.07E-04,0.05,1436.1,"2,600",28/01/2008,12 yrs.,Baikonur Cosmodrome,Proton M
Express-AM44,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,987","35,995",9.44E-05,0.11,1446.57,"2,532",11/2/2009,12 yrs.,Baikonur Cosmodrome,Proton M
Express-AM5,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,420","35,940",6.18E-03,0.08,1430.6,"3,400",26/12/2013,15 yrs.,Baikonur Cosmodrome,Proton M
Express-AM6,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"34,094","37,636",4.19E-02,0.53,1440.09,"3,358",21/10/2014,15 yrs.,Baikonur Cosmodrome,Proton M
Express-AM7,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,777","35,796",2.25E-04,0.01,1436.1,"5,720",18/03/2015,15 yrs.,Baikonur Cosmodrome,Proton M
Express-AM8,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,784","35,788",4.74E-05,0.03,1436.09,"2,100",14/09/2015,15 yrs.,Baikonur Cosmodrome,Proton DM
Express-AT1,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,781","35,804",2.73E-04,0.06,1436.4,"1,726",15/03/2014,15 yrs.,Baikonur Cosmodrome,Proton M
Express-AT2,Russia,"Russian Satellite Communications Company (Intersputnik),Russia",Commercial,Communications,GEO,"35,609","35,715",1.26E-03,0.1,1429.75,"1,427",15/03/2014,15 yrs.,Baikonur Cosmodrome,Proton M
Falconsat-3,USA,"US Air Force Academy,USA",Military/Civil,Technology Development,LEO,538,540,1.45E-04,35.4,95.4,46,9/3/2007,null,Cape Canaveral,Atlas 5
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,"University of Texas - Austin,USA",Civil,Technology Development,LEO,627,654,1.93E-03,71.97,97.54,55,20/11/2010,null,Kodiak Launch Complex,Minotaur 4
Fengniao 1A (Hummingbird 1A),NR,"Chinese Academy of Space Technology (CAST),China",Government,Technology Development,LEO,488,500,8.74E-04,97.35,94.49,160,20/11/2012,null,Taiyuan Launch Center,Long March 2C
Fengyun 2D (FY-2D),China,"China Meteorological Administration,China",Government,Earth Observation,GEO,"35,777","35,791",1.66E-04,0.77,1436,"1,390",8/12/2006,3 yrs.,Xichang Satellite Launch Center,Long March 3A
Fengyun 2E (FY-2E),China,"China Meteorological Administration,China",Government,Earth Observation,GEO,"35,767","35,803",4.27E-04,2.61,1436.04,"1,390",23/12/2008,3 yrs.,Xichang Satellite Launch Center,Long March 3A
Fengyun 2F (FY-2F),China,"China Meteorological Administration,China",Government,Earth Observation,GEO,"35,760","35,816",6.64E-04,2.19,1436.19,"1,390",12/1/2012,3 yrs.,Xichang Satellite Launch Center,Long March 3A
Fengyun 2G (FY 2G),NR,"China Meteorological Administration,China",Government,Earth Observation,GEO,"35,770","35,800",3.56E-04,2.27,1436.02,"1,390",31/12/2014,null,Xichang Satellite Launch Center,Long March 3A
Fengyun 3A (FY-3A),China,"China Meteorological Administration,China",Government,Earth Observation,LEO,820,835,1.04E-03,98.6,101.5,"2,300",27/05/2008,null,Taiyuan Launch Center,Long March 4C
Fengyun 3B (FY-3B),China,"China Meteorological Administration,China",Government,Earth Observation,LEO,827,828,6.95E-05,98.8,101.5,"2,300",4/11/2010,null,Taiyuan Launch Center,Long March 4C
Fengyun 3C (FY-3C),China,"China Meteorological Administration,China",Government,Earth Observation,LEO,827,828,6.95E-05,98.81,101.45,"2,300",23/09/2013,null,Taiyuan Launch Center,Long March 4C
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,"National Aeronautics and Space Administration (NASA)/GSFC,USA",Government,Space Science,LEO,537,556,1.37E-03,25.6,95.6,"4,303",11/6/2008,null,Cape Canaveral,Delta 2
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,"1,101","1,107",4.01E-04,122.99,107.35,null,21/09/2010,null,Vandenberg AFB,Atlas 5
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,"1,068","1,107",2.61E-03,123,107,null,3/4/2012,null,Vandenberg AFB,Delta 4
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",NR,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,"1,066","1,081",1.01E-03,123,106.7,null,6/12/2013,null,Vandenberg AFB,Atlas 5
"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topax)",NR (12/16),"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,"1,086","1,087",6.71E-05,123,106.7,null,10/2/2016,null,Vandenberg AFB,Delta 4
"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory),USA",Government/Civil,Space Science,LEO,437,667,1.66E-02,99.1,95.7,2,31/01/2015,.25 yrs.,Vandenberg AFB,Delta 2
"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory),USA",Government/Civil,Space Science,LEO,444,675,1.67E-02,99.1,97.7,2,31/01/2015,.25 yrs.,Vandenberg AFB,Delta 2
FLP (Flying Laptop),NR (10/17),"University of Stuttgart,Germany",Civil,Earth Observation/Space Science,LEO,586,606,1.44E-03,97.6,96.6,120,14/07/2017,2 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
FLTSATCOM-8 (USA 46),USA,"US Navy,USA",Military,Communications,GEO,"35,745","35,829",9.96E-04,8.97,"1,436.13","2,310",25/09/1989,5 yrs.,Cape Canaveral,Atlas Centaur
FormoSat-5,NR (10/17),"National Space Organization,Taiwan",Government,Earth Observation,LEO,710,729,1.34E-03,98.3,99.1,525,25/08/2017,5 yrs.,Vandenberg AFB,Falcon 9
FORTÉ (Fast On-orbit Recording of Transient Events),USA,"Los Alamos National Laboratory,USA",Government,Earth Observation,LEO,790,823,2.30E-03,70,101,215,29/08/1997,3 yrs.,Vandenberg AFB,Pegasus XL
Fox-1A (AO-85),NR,"AMSAT-NA,USA",Civil,Communications/Technology Development,LEO,496,802,2.18E-02,64.78,97.7,1,8/10/2015,11 yrs.,Cape Canaveral,Atlas 5
FUNCube-1 (AO-73),NR,"AMSAT-UK,Netherlands",Civil,Communications,LEO,594,683,6.35E-03,97.8,97.4,1,21/11/2013,null,Dombarovsky Air Base,Dnepr
Galassia,NR,"National University of Singapore,Singapore",Civil,Earth Science,LEO,529,549,1.45E-03,14.98,95.43,3,16/12/2015,null,Satish Dhawan Space Centre,PSLV-C29
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.),USA",Commercial,Communications,GEO,"35,785","35,795",1.19E-04,0.05,1436.11,"4,488",21/01/1999,14 yrs.,Guiana Space Center,Ariane 4
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.),USA",Commercial,Communications,GEO,"35,775","35,796",2.49E-04,0.05,1436.07,"1,760",9/4/2003,15 yrs.,Guiana Space Center,Ariane 5
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.,USA/Japan",Commercial,Communications,GEO,"35,781","35,790",1.07E-04,0.01,1436.07,"4,060",1/10/2003,15 yrs.,Sea Launch Odyssey,Zenit 3
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.),USA",Commercial,Communications,GEO,"35,776","35,795",2.25E-04,0.01,1436.07,"2,086",13/08/2005,15 yrs.,Baikonur Cosmodrome,Soyuz-Fregat 
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.),USA",Commercial,Communications,GEO,"35,776","35,795",2.25E-04,0.06,1436.07,"2,033",13/10/2005,15 yrs.,Guiana Space Center,Ariane 5
Galaxy-16 ,USA,"PanAmSat (Intelsat, Ltd.),USA",Commercial,Communications,GEO,"35,775","35,798",2.73E-04,0.01,1436.1,"4,640",18/06/2006,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Galaxy-17,USA,"Intelsat, Ltd.,USA",Commercial,Communications,GEO,"35,774","35,799",2.97E-04,0.02,1436.1,"4,100",4/5/2007,15 yrs.,Guiana Space Center,Ariane 5 ECA
Galaxy-18,USA,"Intelsat, Ltd.,USA",Commercial,Communications,GEO,"35,774","35,798",2.85E-04,0.02,1436.1,"4,642",21/05/2008,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Galaxy-19,USA,"Intelsat, Ltd.,USA",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0.05,1436.1,"4,690",24/09/2008,15 yrs.,Sea Launch Odyssey,Zenit 3SL
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd. ,USA",Commercial,Communications,GEO,"35,771","35,801",3.56E-04,0.03,1436.08,"3,515",24/05/1997,13 yrs.,Baikonur Cosmodrome,Proton K
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,"Intelsat, Ltd.,USA",Commercial,Communications,GEO,"35,775","35,798",2.73E-04,0.01,1436.1,"5,493",23/06/2005,"13 trs,",Sea Launch Odyssey,Zenit 3SL
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)/DirecTV L.A.,USA",Commercial,Communications,GEO,"35,784","35,788",4.74E-05,0.01,1436.11,"4,860",15/06/2002,15 yrs.,Sea Launch Odyssey,Zenit 3SL
"Galileo FOC FM1 (0201, Galileo 5, PRN E18)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"17,231","25,971",1.56E-01,49.78,776.25,733,22/08/2014,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,272","23,280",1.35E-04,57.4,847.01,723,24/05/2016,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,483","23,530",7.87E-04,57.4,856.9,723,24/05/2016,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM12 (0212, Galileo 16)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,039","23,055",2.72E-04,54.6,846,723,17/11/2016,12 yrs.,Guiana Space Center,Ariane 5
"Galileo FOC FM13 (0213, Galileo 17)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"22,982","22,982",0.00E+00,54.6,834,723,17/11/2016,12 yrs.,Guiana Space Center,Ariane 5
"Galileo FOC FM14 (0214, Galileo 18)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,272","23,296",4.05E-04,54.6,847,723,17/11/2016,12 yrs.,Guiana Space Center,Ariane 5
"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"13,810","25,918",2.31E-01,49.77,705.11,733,22/08/2014,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,516","23,574",9.69E-04,55,858.55,723,27/03/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,353","23,382",4.88E-04,55.1,850.5,723,27/03/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,218","23,240",3.72E-04,57.1,845,723,11/9/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,220","23,239",3.21E-04,57.1,844,723,11/9/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM7 (0207, Galileo 15)",NR (12/16),"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,265","23,305",6.74E-04,54.6,847,723,17/11/2016,12 yrs.,Guiana Space Center,Ariane 5
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,550","23,618",1.14E-03,54.96,860.51,723,17/12/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo FOC FM9 (0209, Galileo 12, E09)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,551","23,568",2.84E-04,54.95,858.34,723,17/12/2015,12 yrs.,Guiana Space Center,Soyuz-ST
"Galileo IOV-1 FM2 (0102, PRN E12)",NR,"European Space Agency,ESA",Commerical,Navigation/Global Positioning,MEO,"23,242","23,307",1.10E-03,54.67,846.98,700,21/10/2011,12 yrs.,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-1 PFM (0101, PRN E11)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,240","23,306",1.11E-03,54.68,846.88,700,21/10/2011,12 yrs.,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-2 FM3 (0103, PRN E19)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,214","23,233",3.21E-04,55.34,844.76,700,12/10/2012,12 yrs.,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-2 FM4 (0104, PRN E20)",NR,"European Space Agency,ESA",Commercial,Navigation/Global Positioning,MEO,"23,217","23,227",1.69E-04,55.3,844.69,700,12/10/2012,12 yrs.,Guiana Space Center,Soyuz-Fregat
Gaofen 1,China,"Shanghai Academy of Spaceflight Technology (SAST),China",Government,Earth Observation,LEO,630,654,1.71E-03,98.07,97.56,"1,000",26/04/2013,5-8 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Gaofen 2,NR,"Shanghai Academy of Spaceflight Technology (SAST),China",Government,Earth Observation,LEO,620,636,1.14E-03,98.02,97.06,"1,000",19/08/2014,5-8 yrs.,Taiyuan Launch Center,Long March 4B
Gaofen 3 ,NR,"State Oceanic Administration (SOA),China",Government,Earth Observation,LEO,757,759,1.40E-04,98.4,99.8,"1,000",9/8/2016,5-8 yrs.,Taiyuan Launch Center,Long March 4C
Gaofen 4,NR,"China Aerospace Science and Technology Corporation (CASC),China",Government,Earth Observation,GEO,"35,792","35,796",4.74E-05,0.6,1436.1,"4,600",28/12/2015,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Gaofen 8,NR,"Shanghai Academy of Spaceflight Technology (SAST),China",Government,Earth Observation,LEO,484,492,5.83E-04,97.3,94.36,"1,000",26/06/2015,5-8 yrs.,Taiyuan Launch Center,Long March 4B
Gaofen 9,NR,"China Aerospace Science and Technology Corporation (CASC),China",Government,Earth Observation,LEO,618,664,3.28E-03,98.01,97.54,"1,000",14/09/2015,5-8 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Garpun-1 (Cosmos 2473),Russia,"Ministry of Defense,Russia",Military,Communications,GEO,"35,782","35,790",9.49E-05,0.09,1436.1,"5,000",20/09/2011,null,Baikonur Cosmodrome,Proton M
Garpun-12L (Cosmos 2513),Russia,"Ministry of Defense,Russia",Military,Communications,GEO,"35,783","35,805",2.61E-04,0,1436.1,"5,000",10/12/2015,null,Baikonur Cosmodrome,Proton M
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),NR,"GomSpace ApS,Denmark",Commercial,Technology Development,LEO,593,819,1.60E-02,97.7,98.9,5,21/11/2013,null,Dombarovsky Air Base,Dnepr
GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),NR,"NearSpace Launch/Air Force Research Laboratory,USA",Government,Technology Development,LEO,356,700,2.49E-02,55,95,10,20/05/2015,null,Cape Canaveral,Atlas 5
Genesis-1,USA,"Bigelow Aerospace,USA",Commercial,Technology Development,LEO,522,569,3.40E-03,64.5,95.6,"1,360",12/7/2006,5 yrs.,Dombarovsky Air Base,Dnepr
Genesis-2,USA,"Bigelow Aerospace,USA",Commercial,Technology Development,LEO,508,586,5.64E-03,64.5,95.6,"1,360",28/06/2007,5 yrs.,Dombarovsky Air Base,Dnepr
GEO IK2 (Cosmos 2517),Russia,"Ministry of Defense,Russia",Military,Earth Science,LEO,935,963,1.91E-03,99.27,104.03,900,5/6/2016,5 yrs.,Plesetsk Cosmodrome,Rokot
GeoEye-1 (Orbview 5),USA,"DigitalGlobal Corporation,USA",Commercial/Government,Earth Observation,LEO,671,686,1.06E-03,98.1,98.3,"1,955",6/9/2008,7+ yrs.,Vandenberg AFB,Delta 2
Geotail (Geomagnetic Tail Laboratory),Japan,"Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Multinational",Government,Space Science,Elliptical,"49,551","191,451",5.59E-01,9.39,"2,474.83",980,24/07/1992,null,Cape Canaveral,Delta 2
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",NR (12/16),"GHGSat, Inc.,Canada",Commercial,Earth Science,LEO,500,512,8.73E-04,97.5,94.7,15,22/06/2016,null,Satish Dhawan Space Centre,PSLV XL
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",Japan,"Japan Aerospace Exploration Agency (JAXA),USA/Japan",Government,Earth Observation,LEO,701,704,2.12E-04,98.2,98.8,"1,900",17/05/2012,5 yrs.,Tanegashima Space Center,H-II2
Globalstar M004 (Globalstar 4),USA,"Globalstar ,USA",Commercial,Communications,LEO,"1,407","1,412",3.21E-04,52,114,450,14/02/1998,10 yrs.,Cape Canaveral,Delta 7420
Globalstar M023 (Globalstar 9),USA,"Globalstar ,USA",Commercial,Communications,LEO,"1,406","1,422",1.03E-03,52,114.1,450,9/2/1999,10 yrs.,Baikonur Cosmodrome,Soyuz U
Globalstar M028 (Globalstar 26),USA,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,52,114.1,450,25/07/1999,10 yrs.,Cape Canaveral,Delta 7420
Globalstar M031 (Globalstar 44),USA,"Globalstar ,USA",Commercial,Communications,LEO,"1,477","1,478",6.37E-05,52,114.1,450,18/10/1999,10 yrs.,Baikonur Cosmodrome,Soyuz U
